ID,Rider,Team,Kls,Me,Scr,Bon,Sum,St,Avg,I,II,III,IV,D,T,M,W,U,Year
56,SebastianSzostak,OST,Tak,9,15,1,16,24,0.667,1,3,6,12,1,1,0,0,0,2022
32,SebastianU?amek,CZE,Tak,15,113,6,119,74,1.608,19,18,20,12,2,1,1,1,0,2007
17,SebastianU?amek,CZE,Tak,20,174,21,195,102,1.912,31,27,27,12,3,0,1,1,0,2008
21,SebastianU?amek,TAR,Tak,16,137,10,147,83,1.771,22,22,27,12,0,0,0,0,0,2010
17,SebastianU?amek,TAR,Tak,16,151,6,157,83,1.892,28,26,15,11,2,0,0,1,0,2011
35,SebastianU?amek,WRO,Tak,20,165,10,175,103,1.699,29,27,24,18,2,1,0,1,1,2012
39,SebastianU?amek,GNI,Tak,14,90,9,99,62,1.597,13,19,13,14,1,1,0,1,0,2013
50,SebastianU?amek,CZE,Tak,10,44,6,50,42,1.19,7,6,11,18,0,0,0,0,0,2017
36,SergeiLogachev,RYB,Tak,10,54,10,64,43,1.488,4,12,18,7,0,1,0,1,0,2020
65,SewerynOrgacki,GRU,Nie,5,2,1,3,10,0.3,0,0,2,7,1,0,0,0,0,2021
67,SimonGustafsson,GOR,Nie,8,10,1,11,16,0.688,0,2,6,7,0,0,0,0,1,2010
